Output,Accuracy
"['Sky_001.jpg', 'Dog_105.jpg', 'Plane_103.jpg', 'Sky_160.jpg', 'Sky_159.jpg', 'Billiardsball_009.jpg', 'Ship_084.jpg', 'Billiardsball_063.jpg', 'Sky_039.jpg', 'Billiardsball_029.jpg', 'Billiardsball_020.jpg']",0.3
"['Sky_002.jpg', 'Beach_129.jpg', 'Eagle_131.jpg', 'Beach_158.jpg', 'Sunflower_196.jpg', 'Castle_062.jpg', 'Archit_166.jpg', 'Beach_114.jpg', 'Desert_199.jpg', 'Eagle_110.jpg', 'Beach_193.jpg']",0.0
"['Sky_003.jpg', 'Desert_043.jpg', 'Archit_031.jpg', 'Plane_048.jpg', 'Sky_011.jpg', 'Plane_142.jpg', 'Plane_010.jpg', 'Eagle_066.jpg', 'Cartoon_052.jpg', 'Mountain_057.jpg', 'Desert_041.jpg']",0.1
"['Sky_004.jpg', 'Penguin_064.jpg', 'Plane_152.jpg', 'Surfs_179.jpg', 'Sky_172.jpg', 'Beach_024.jpg', 'Archit_142.jpg', 'Sky_158.jpg', 'Sky_009.jpg', 'Sky_135.jpg', 'Sunflower_021.jpg']",0.4
"['Sky_005.jpg', 'Plane_020.jpg', 'Castle_194.jpg', 'Eagle_133.jpg', 'Plane_161.jpg', 'Eagle_089.jpg', 'Plane_018.jpg', 'Plane_062.jpg', 'Eagle_116.jpg', 'RacingMotor_028.jpg', 'Plane_022.jpg']",0.0
"['Sky_006.jpg', 'Plane_153.jpg', 'Plane_180.jpg', 'Plane_187.jpg', 'Plane_182.jpg', 'Plane_015.jpg', 'Plane_021.jpg', 'Plane_140.jpg', 'Plane_106.jpg', 'Eagle_200.jpg', 'Plane_078.jpg']",0.0
"['Sky_007.jpg', 'Beach_039.jpg', 'Sculpt_082.jpg', 'Desert_188.jpg', 'Beach_078.jpg', 'Surfs_167.jpg', 'Beach_173.jpg', 'Plane_076.jpg', 'Mountain_051.jpg', 'Castle_164.jpg', 'Surfs_196.jpg']",0.0
"['Sky_008.jpg', 'Sky_198.jpg', 'Surfs_093.jpg', 'Plane_102.jpg', 'Sky_160.jpg', 'Eagle_043.jpg', 'Penguin_048.jpg', 'Eagle_109.jpg', 'Eagle_164.jpg', 'Plane_050.jpg', 'Sky_026.jpg']",0.3
"['Sky_009.jpg', 'Penguin_064.jpg', 'Sky_135.jpg', 'Sky_004.jpg', 'Plane_152.jpg', 'Sky_118.jpg', 'Sky_162.jpg', 'Eagle_133.jpg', 'Surfs_179.jpg', 'Sky_172.jpg', 'Eagle_126.jpg']",0.5
"['Sky_010.jpg', 'Sky_150.jpg', 'Sky_052.jpg', 'Mountain_045.jpg', 'Sky_041.jpg', 'Sky_142.jpg', 'Elephant_100.jpg', 'Sky_179.jpg', 'Sky_042.jpg', 'Eagle_198.jpg', 'Surfs_127.jpg']",0.6
